Nom image,Luminosité,Contraste,Netteté,% lignes verticales,% lignes horizontales,Nb lignes détectées,Nombre de marches
Groupe5_image07.jpg,134.18,44.31,110.14,16.07,16.56,47169,11
Groupe5_image05.jpg,112.76,56.84,700.09,19.91,11.15,90783,7
Groupe5_image03.jpg,107.85,63.33,543.76,17.22,11.27,74902,38
Groupe5_image02.jpg,108.32,58.36,362.91,12.72,15.39,60377,4
Groupe5_image15.jpeg,121.94,61.2,324.11,16.51,19.72,8678,8
Groupe5_image13.jpeg,147.99,44.5,1275.03,16.72,18.98,25071,3
Groupe5_image04.jpg,129.69,57.58,277.16,20.13,12.18,84601,6
Groupe5_image17.jpeg,126.51,47.0,1079.15,17.91,16.19,27896,13
Groupe5_image09.jpg,87.43,44.12,245.84,16.83,54.34,1349,8
Groupe5_image16.jpeg,147.74,53.33,111.89,16.59,21.82,4527,10
Groupe5_image10.jpeg,129.15,52.7,831.36,17.37,19.91,14644,14
Groupe5_image11.jpeg,111.67,45.89,1422.28,12.43,23.55,7498,13
Groupe5_image08.jpg,134.29,61.4,156.47,8.01,38.59,2983,14
Groupe5_image18.jpeg,111.65,71.8,540.48,15.78,25.0,5095,8
Groupe5_image12.jpeg,100.92,44.15,1524.2,34.3,47.4,481,15
Groupe5_image01.jpg,90.52,66.14,170.53,53.97,3.35,3756,9
Groupe5_image14.jpeg,70.27,57.62,503.23,20.57,16.0,8501,4
Groupe5_image06.jpg,72.56,43.65,40.11,13.36,36.76,9223,5
t3i9.jpg,87.39,60.56,3933.72,12.39,20.97,35742,21
t3i16.png,116.32,23.87,63.85,100.0,0.0,11,4
t3i1.jpg,114.18,46.87,47.84,22.74,22.63,4507,11
t3i13.jpg,104.32,53.89,345.93,12.92,18.04,62415,4
t3i11.jpeg,147.24,35.01,729.01,13.05,17.47,76822,6
t3i21.jpeg,136.31,44.01,935.33,16.12,14.33,97230,14
t3i8.jpg,103.79,68.64,6012.96,18.66,14.74,31470,17
t3i6.jpg,154.47,77.02,1429.45,16.19,15.08,18572,4
t3i23.jpg,72.32,28.04,38.51,82.79,13.49,215,12
t3i12.jpg,91.74,56.97,244.45,12.41,20.08,59950,5
t3i24.jpg,89.3,45.3,177.14,16.12,17.58,34734,10
t3i25.jpg,158.7,50.44,443.08,40.61,43.0,293,7
t3i4.jpg,97.61,78.82,3517.89,21.68,11.65,29733,10
t3i29.jpg,134.47,54.8,86.88,17.55,15.58,25931,12
t3i10.jpg,140.81,67.66,3721.65,12.39,19.86,50689,34
t3i26.jpg,137.84,63.68,1017.47,16.2,16.95,22634,8
t3i30.jpg,130.65,62.51,43.42,41.1,55.58,905,7
t3i14.jpeg,155.29,45.93,975.84,14.51,18.51,68328,4
t3i15.jpg,76.55,51.56,158.74,10.3,20.15,62515,5
t3i2.jpg,134.47,54.8,86.88,17.55,15.58,25931,12
t3i3.jpg,147.52,72.07,3064.69,20.66,13.03,26368,7
t3i19.png,117.66,17.82,55.1,100.0,0.0,26,4
t3i17.png,122.22,23.4,144.73,100.0,0.0,44,3
t3i5.jpg,85.0,48.71,7051.69,19.65,12.59,38177,5
t3i20.png,117.74,15.26,29.64,100.0,0.0,11,2
t3i27.jpg,133.53,58.4,194.87,12.52,24.7,20786,7
t3i18.png,114.41,23.07,66.06,100.0,0.0,25,3
t3i28.jpg,122.56,41.65,30.54,32.25,55.33,338,8
t3i22.png,130.49,51.09,75.44,14.33,60.75,935,7
